■ 연도별 박스오피스,,,,,,,,,,
- 조회일: 2026-05-11,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,
▶ 검색조건 [ 조회기간: 2006   영화구분: 전체   국적: 한국   지역: 전체 ],,,,,,,,,,
순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,괴물,2006-07-27,"66,616,696,300",11.70%,"10,900,034",647,"112,901",한국,한국,(주)쇼박스
2,왕의 남자,2005-12-29,"61,599,042,900",10.80%,"9,792,799",313,"106,169",한국,한국,(주)시네마서비스
3,타짜,2006-09-28,"36,176,083,700",6.40%,"5,684,608",492,"76,844",한국,한국,씨제이엔터테인먼트
4,투사부일체,2006-01-19,"31,949,667,000",5.60%,"5,073,037",407,"54,332",한국,한국,씨제이엔터테인먼트
5,한반도,2006-07-13,"20,582,898,600",3.60%,"3,329,188",483,"49,501",한국,한국,씨제이엔터테인먼트
6,미녀는 괴로워,2006-12-14,"18,890,654,500",3.30%,"3,219,277",415,"36,542",한국,한국,(주)쇼박스
7,가문의 부활 - 가문의 영광3,2006-09-21,"15,996,393,400",2.80%,"2,598,868",444,"51,429",한국,한국,(주)쇼박스
8,우리들의 행복한 시간,2006-09-14,"14,938,402,000",2.60%,"2,472,049",414,"47,291",한국,한국,(주)프라임엔터테인먼트
9,음란서생,2006-02-23,"14,944,229,700",2.60%,"2,304,306",347,"38,958",한국,한국,씨제이엔터테인먼트
10,"달콤, 살벌한 연인",2006-04-06,"13,424,625,100",2.40%,"2,077,271",246,"38,021",한국,한국,씨제이엔터테인먼트
11,맨발의 기봉이,2006-04-26,"12,215,247,400",2.20%,"2,001,277",271,"39,894",한국,한국,(주)쇼박스
12,비열한 거리,2006-06-15,"11,660,026,600",2.10%,"1,829,161",306,"34,053",한국,한국,씨제이엔터테인먼트
13,사생결단,2006-04-27,"10,899,172,600",1.90%,"1,719,315",286,"33,179",한국,한국,(주)씨제이이엔엠
14,구세주,2006-02-16,"10,087,066,700",1.80%,"1,621,089",206,"31,931",한국,한국,쇼이스트(주)
15,라디오 스타,2006-09-28,"9,860,492,500",1.70%,"1,590,625",244,"38,920",한국,한국,"(주)씨제이이엔엠,(주)시네마서비스"
16,청춘만화,2006-03-23,"9,783,003,000",1.70%,"1,567,165",298,"32,926",한국,한국,(주)쇼박스
17,흡혈형사 나도열,2006-02-09,"9,693,558,300",1.70%,"1,563,579",243,"30,494",한국,한국,(주)쇼박스
18,거룩한 계보,2006-10-19,"8,755,260,600",1.50%,"1,432,952",372,"32,099",한국,한국,씨제이엔터테인먼트
